Trt;Cq;delta_cq;DNA_copy;DNA_log10;rep_bio;ID;conservation_t;qPCR_mix;Date_stdcurve;Site
ENC3;37.02;;380.0031827;2.57978723404644;NA;neg3_E3;;GMM;29/07/2020;
QNC3;No Cq;;1;0;;neg3_q;;GMM;29/07/2020;
QNC3;34.36;;1937.465789;3.28723404264689;;neg3_q;;GMM;29/07/2020;
BTT;29.36;;41401.99576;4.61702127654757;2;DNT_2;;GMM;29/07/2020;
SNC3;No Cq;;1;0;NA;neg3_DNT;0;GMM;25/11/2020;
SNC0;34.73;;1544.648928;3.18882978734805;NA;neg2_TEM;;GMM;29/07/2020;
ENC3;33.89;;2583.652153;3.41223404252675;NA;neg3_E1;;GMM;29/07/2020;
SNC0;No Cq;;1;0;NA;neg2_TEM;;GMM;29/07/2020;
ENC3;No Cq;;1;0;NA;neg3_E1;;GMM;29/07/2020;
PW;31.82;;9178.378377;3.9627659574397;1;PW1;;GMM;29/07/2020;
FNC1;38.44;;159.2676821;2.2021276596081;NA;neg2_F1;0;GMM;29/07/2020;
PW;32.18;;7362.43166;3.86702127657986;2;PW2;;GMM;29/07/2020;
ENC3;37.94;;216.3248359;2.33510638293947;NA;neg3_E3;;GMM;29/07/2020;
BTZ;29.79;;31817.02539;4.50265957452189;1;DNZ_1;;GMM;29/07/2020;
BTT;29.42;;39908.35528;4.60106382982514;2;DNT_2;;GMM;29/07/2020;
BTZ;30.41;;21765.36514;4.33776595736325;2;DNZ_2;;GMM;29/07/2020;
BTT;29.59;;35962.59845;4.55585106380998;3;DNT_3;;GMM;29/07/2020;
BT;29.81;;31429.71374;4.49734042550678;1;DN1;;GMM;29/07/2020;
BT;31.19;;13499.54556;4.13031914893158;2;DN2;;GMM;29/07/2020;
ENC0;36.21;;624.0404854;2.79521276598925;NA;neg2_E1;;GMM;29/07/2020;
BTZ;30.14;;25678.78482;4.40957446805509;2;DNZ_2;;GMM;29/07/2020;
ENC0;33.79;;2746.817384;3.43882978728463;NA;neg2_E1;;GMM;29/07/2020;
PW;32.66;;5487.337876;3.73936170216158;1;PW1;;GMM;29/07/2020;
BT;30.82;;16932.59045;4.22872340418574;3;DN3;;GMM;29/07/2020;
BT;30.62;;19138.80835;4.28191489356984;2;DN2;;GMM;29/07/2020;
SNC3;38.68;;137.4984721;2.13829787225919;NA;neg3_DNT;0;GMM;25/11/2020;
PW;31.75;;9580.385367;3.98138297874405;2;PW2;;GMM;29/07/2020;
ENC3;No Cq;;1;0;NA;neg3_E1;;GMM;29/07/2020;
BTZ;30.9;;16123.03544;4.20744680860681;1;DNZ_1;;GMM;29/07/2020;
SNC3;38.91;;119.4339125;2.07712765946049;NA;neg3_Pw;0;GMM;25/11/2020;
SNC0;38.24;;180.0193333;2.25531914896233;NA;neg2_TEM;;GMM;29/07/2020;
BTZ;30.02;;27636.9022;4.44148936168178;2;DNZ_2;;GMM;29/07/2020;
PW;32.8;;5036.486331;3.70212765961532;3;PW3;;GMM;29/07/2020;
BTZ;30.17;;25211.32928;4.40159574467484;3;DNZ_3;;GMM;29/07/2020;
ENC0;36.12;;659.3999899;2.81914893615507;NA;neg2_E1;;GMM;29/07/2020;
BTT;29.56;;36629.39851;4.56382978718945;1;DNT_1;;GMM;29/07/2020;
BTT;29.81;;31429.71374;4.49734042550678;3;DNT_3;;GMM;29/07/2020;
SNC3;38.01;;207.2475292;2.31648936160493;NA;neg3_Pw;0;GMM;25/11/2020;
BTZ;30.09;;26477.21734;4.42287234038303;3;DNZ_3;;GMM;29/07/2020;
FNC1;38.7;;135.8246903;2.13297872345246;NA;neg2_F1;0;GMM;29/07/2020;
BTT;29.3;;42951.53838;4.63297872341709;2;DNT_2;;GMM;29/07/2020;
PWZ;31.78;;9405.984426;3.97340425532566;1;PWZ_1;;GMM;29/07/2020;
PW;31.38;;12016.75575;4.07978723388558;2;PW2;;GMM;29/07/2020;
PWZ;32.23;;7140.414188;3.85372340426157;1;PWZ_1;;GMM;29/07/2020;
PWZ;31.61;;10437.99348;4.01861702124133;2;PWZ_2;;GMM;29/07/2020;
BT;30.71;;18112.51355;4.25797872337574;2;DN2;;GMM;29/07/2020;
BTZ;29.72;;33210.59036;4.52127659579747;3;DNZ_3;;GMM;29/07/2020;
SNC3;37.69;;252.1132928;2.40159574467484;NA;neg3_DNT;0;GMM;25/11/2020;
PW;32.63;;5589.081281;3.74734042552807;3;PW3;;GMM;29/07/2020;
BT;31.76;;9521.895354;3.97872340425148;3;DN3;;GMM;29/07/2020;
BTZ;31.28;;12775.64921;4.10638297856461;1;DNZ_1;;GMM;29/07/2020;
BTT;29.81;;31429.71374;4.49734042550678;3;DNT_3;;GMM;29/07/2020;
PWZ;31.99;;8270.908027;3.91755319147125;2;PWZ_2;;GMM;29/07/2020;
BTT;29.55;;36854.4014;4.56648936165466;1;DNT_1;;GMM;29/07/2020;
ENC3;35.61;;901.1295555;2.95478723403559;NA;neg3_E3;;GMM;29/07/2020;
SNC3;No Cq;;1;0;NA;neg3_Pw;0;GMM;25/11/2020;
BTT;30.27;;23713.73706;4.37500000006196;1;DNT_1;;GMM;29/07/2020;
BT;31;;15165.30202;4.18085106379362;3;DN3;;GMM;29/07/2020;
PWZ;31.45;;11512.5151;4.06117021283291;2;PWZ_2;;GMM;29/07/2020;
PW;32.34;;6675.258449;3.82446808513798;3;PW3;;GMM;29/07/2020;
PWZ;32.02;;8120.344758;3.90957446807351;1;PWZ_1;;GMM;29/07/2020;
PWZ;35.28;;1102.943312;3.04255319157142;3;PWZ_3;;GMM;29/07/2020;
PWZ;35.05;;1269.765153;3.10372340427285;3;PWZ_3;;GMM;29/07/2020;
PWZ;34.98;;1325.380039;3.12234042557496;3;PWZ_3;;GMM;29/07/2020;
BT;27.79;;354501.6987;5.54961832057485;1;DN1;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_DN;;EMM;05/10/2020;
BTZ;27.81;;350371.895;5.54452926206241;1;DNZ_1;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg2_E1;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg3_E1;;EMM;05/10/2020;
PWZ;29.73;;113757.3964;5.05597964367004;3;PWZ_3;;EMM;05/10/2020;
FNC6;No Cq;;1;0;NA;neg3_F;;EMM;05/10/2020;
ENC6;37.16;;1463.505645;3.16539440192364;Na;neg3_E1;;EMM;05/10/2020;
PW;28.73;;204377.2588;5.31043256990139;1;PW1;;EMM;05/10/2020;
BTZ;27.91;;330433.4231;5.51908396944059;1;DNZ_1;;EMM;05/10/2020;
PW;28.94;;180716.3538;5.25699745551459;3;PW3;;EMM;05/10/2020;
SNC6;44.48;;20.08163098;1.30279898222045;NA;neg3_Pw;;EMM;05/10/2020;
BT;27.69;;375892.4591;5.57506361327937;3;DN3;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg3_E3;;EMM;05/10/2020;
PW;29.52;;128651.4716;5.1094147583202;1;PW1;;EMM;05/10/2020;
BTT;27.57;;403271.9028;5.6055979644227;2;DNT_2;;EMM;05/10/2020;
BTT;27.73;;367185.4775;5.56488549615029;3;DNT_3;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_DN;;EMM;05/10/2020;
BTZ;27.7;;373696.5462;5.57251908400641;3;DNZ_3;;EMM;05/10/2020;
BTZ;28.06;;302632.8241;5.48091603060189;3;DNZ_3;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg2_E1;;EMM;05/10/2020;
FNC6;No Cq;;1;0;NA;neg3_F;;EMM;05/10/2020;
BTT;27.92;;328503.0758;5.51653944024805;2;DNT_2;;EMM;05/10/2020;
PW;29.56;;125671.4544;5.09923664121472;2;PW2;;EMM;05/10/2020;
BTZ;27.82;;348325.0698;5.54198473281019;2;DNZ_2;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg2_E1;;EMM;05/10/2020;
BT;27.56;;405641.6061;5.60814249359584;2;DN2;;EMM;05/10/2020;
PWZ;29.38;;139649.1086;5.1450381678828;3;PWZ_3;;EMM;05/10/2020;
BTT;29.07;;167462.8874;5.22391857505498;1;DNT_1;;EMM;05/10/2020;
BTT;27.04;;550120.7359;5.74045801527738;2;DNT_2;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_DNT;;EMM;05/10/2020;
PWZ;29.63;;120621.5587;5.08142493622609;1;PWZ_1;;EMM;05/10/2020;
SNC6;27.75;;362907.9128;5.55979643760786;NA;neg3_DN;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_DNT;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_Pw;;EMM;05/10/2020;
PWZ;30.01;;96545.67526;4.98473282443562;1;PWZ_1;;EMM;05/10/2020;
PW;29.88;;104186.5614;5.01781170470046;1;PW1;;EMM;05/10/2020;
SNC6;29.75;;112432.168;5.05089058513133;NA;neg3_Pw;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg3_E3;;EMM;05/10/2020;
BTT;No Cq;;1;0;3;DNT_3;;EMM;05/10/2020;
BTZ;28.65;;214184.8774;5.33078880406081;2;DNZ_2;;EMM;05/10/2020;
PW;28.18;;282086.0954;5.45038167942059;2;PW2;;EMM;05/10/2020;
PWZ;29.02;;172441.2734;5.23664122125997;3;PWZ_3;;EMM;05/10/2020;
BTT;29.97;;98835.0398;4.99491094148982;3;DNT_3;;EMM;05/10/2020;
PW;28.61;;219263.7922;5.34096692102536;2;PW2;;EMM;05/10/2020;
ENC6;28.49;;235234.6385;5.37150127234367;NA;neg3_E1;;EMM;05/10/2020;
BT;30.69;;64819.37432;4.81170483461531;1;DN1;;EMM;05/10/2020;
BTZ;28.4;;247971.6522;5.39440203567786;2;DNZ_2;;EMM;05/10/2020;
QNC6;No Cq;;1;0;;neg6_q;;EMM;05/10/2020;
BTZ;27.41;;442904.8465;5.64631043259158;1;DNZ_1;;EMM;05/10/2020;
PWZ;29.67;;117827.5424;5.07124681943425;2;PWZ_2;;EMM;05/10/2020;
PWZ;29.17;;157933.1445;5.19847328240163;2;PWZ_2;;EMM;05/10/2020;
FNC6;No Cq;;1;0;NA;neg3_F;;EMM;05/10/2020;
PW;29.92;;101773.237;5.00763358790918;3;PW3;;EMM;05/10/2020;
BTT;27.76;;360787.8539;5.55725190837933;1;DNT_1;;EMM;05/10/2020;
PW;28.51;;232494.2485;5.36641221367497;3;PW3;;EMM;05/10/2020;
PWZ;29.33;;143800.6385;5.15776081439465;1;PWZ_1;;EMM;05/10/2020;
PWZ;28.87;;188282.155;5.27480916041878;2;PWZ_2;;EMM;05/10/2020;
BTZ;27.98;;317155.5127;5.50127226457278;3;DNZ_3;;EMM;05/10/2020;
BTT;25.72;;1192163.656;6.07633587790342;1;DNT_1;;EMM;05/10/2020;
SNC6;No Cq;;1;0;NA;neg3_DNT;;EMM;05/10/2020;
ENC6;No Cq;;1;0;NA;neg3_E;;EMM;05/10/2020;
QNC6;No Cq;;1;0;;neg6_q;;EMM;05/10/2020;
BO;33.94;;54101.01017;4.73320537429624;3;BO9;7;GMM;19/10/2020;
SP;34.31;;45939.69418;4.66218809977541;1;SM7;7;GMM;19/10/2020;
SI;33.35;;70218.11008;4.84644913625333;2;SI8;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SI90;7;GMM;25/11/2020;
BO;34.53;;41683.25376;4.61996161227946;2;BO8;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SM90;7;GMM;25/11/2020;
ET;33.84;;56545.65411;4.75239923227521;3;ET9;7;GMM;19/10/2020;
ENC2;No Cq;;1;0;NA;neg2_E4;7;GMM;19/10/2020;
CONTROL;32.55;;100000;5;2;TEM2;0;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SI90;7;GMM;25/11/2020;
FI;33.94;;54101.01017;4.73320537429624;3;FI9;7;GMM;19/10/2020;
SI;33.55;;64277.86162;4.80806142033023;3;SI9;7;GMM;19/10/2020;
FI;32.96;;83426.72252;4.92130518234161;1;FI7;7;GMM;19/10/2020;
FNC2;No Cq;;1;0;NA;neg2_F4;7;GMM;19/10/2020;
SP;35.38;;28629.50371;4.45681381962912;3;SM9;7;GMM;19/10/2020;
FI;33.91;;54823.09273;4.73896353170853;3;FI9;7;GMM;19/10/2020;
SI;34.36;;44935.66476;4.65259117085061;1;SI7;7;GMM;19/10/2020;
ENC2;No Cq;;1;0;NA;neg2_E4;7;GMM;19/10/2020;
CONTROL;32.31;;111189.8794;5.04606525918165;2;TEM2;0;GMM;19/10/2020;
SP;34.78;;37323.03632;4.5719769674266;1;SM7;7;GMM;19/10/2020;
SI;33.1;;78421.25374;4.8944337811931;2;SI8;7;GMM;19/10/2020;
ET;32.81;;89144.79063;4.95009596930893;2;ET8;7;GMM;19/10/2020;
ET;32.88;;86429.15534;4.93666026872182;2;ET8;7;GMM;19/10/2020;
SI;34.27;;46759.04612;4.66986564301491;1;SI7;7;GMM;19/10/2020;
SI;35.08;;32688.5302;4.51439539349624;3;SI9;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_BO90;7;GMM;25/11/2020;
ET;33.87;;55800.88345;4.74664107482329;1;ET7;7;GMM;19/10/2020;
QNC2;No Cq;;1;0;;neg2_q;7;GMM;19/10/2020;
CONTROL;32.46;;104057.7598;5.01727447198313;2;TEM2;0;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_FI90;7;GMM;25/11/2020;
FI;32.59;;98247.71461;4.99232245682039;2;FI8;7;GMM;19/10/2020;
BO;33.59;;63151.53004;4.80038387713805;1;BO7;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_FI90;7;GMM;25/11/2020;
SP;35.18;;31275.30369;4.49520153547979;3;SM9;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SM90;7;GMM;25/11/2020;
SNC2;No Cq;;1;0;NA;neg2_FI90;7;GMM;25/11/2020;
ENC2;No Cq;;1;0;NA;neg2_E4;7;GMM;19/10/2020;
CONTROL;33.23;;74042.61795;4.86948176584989;3;TEM3;0;GMM;19/10/2020;
BO;33.31;;71470.47681;4.85412667947435;3;BO9;7;GMM;19/10/2020;
SP;35.05;;33124.82182;4.52015355086037;1;SM7;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_ET90;7;GMM;25/11/2020;
SP;34.74;;37988.70688;4.5796545106003;2;SM8;7;GMM;19/10/2020;
FI;33.88;;55554.81287;4.74472168906159;2;FI8;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SI90;7;GMM;25/11/2020;
ET;34.27;;46759.04612;4.66986564301491;3;ET9;7;GMM;19/10/2020;
FI;34.39;;44343.81089;4.64683301348255;1;FI7;7;GMM;19/10/2020;
FNC2;No Cq;;1;0;NA;neg2_F4;7;GMM;19/10/2020;
CONTROL;33.49;;66005.13674;4.8195777351029;3;TEM3;0;GMM;19/10/2020;
FI;33.68;;60688.91944;4.7831094049905;3;FI9;7;GMM;19/10/2020;
BO;35;;33864.95321;4.52975047989357;1;BO7;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_BO90;7;GMM;25/11/2020;
FI;33.49;;66005.13674;4.8195777351029;1;FI7;7;GMM;19/10/2020;
ET;33.51;;65424.28175;4.81573896350567;2;ET8;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_BO90;7;GMM;25/11/2020;
FNC2;No Cq;;1;0;NA;neg2_F4;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SM90;7;GMM;25/11/2020;
CONTROL;33.01;;81603.39988;4.91170825334165;1;TEM1;0;GMM;19/10/2020;
CONTROL;33.04;;80528.59019;4.90595009598721;3;TEM3;0;GMM;19/10/2020;
ET;33.52;;65135.77393;4.81381957771028;1;ET7;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_ET90;7;GMM;25/11/2020;
SI;32.86;;87196.49744;4.94049904028771;3;SI9;7;GMM;19/10/2020;
SP;33.79;;57809.09376;4.76199616124302;2;SM8;7;GMM;19/10/2020;
BO;33.61;;62595.78722;4.79654510559585;2;BO8;7;GMM;19/10/2020;
ET;32.62;;96953.68033;4.98656429940414;3;ET9;7;GMM;19/10/2020;
FI;33.1;;78421.25374;4.8944337811931;2;FI8;7;GMM;19/10/2020;
BO;33.85;;56296.29923;4.75047984641767;2;BO8;7;GMM;19/10/2020;
CONTROL;32.66;;95254.77516;4.97888675624956;1;TEM1;0;GMM;19/10/2020;
SI;32.98;;82692.55499;4.91746641073382;2;SI8;7;GMM;19/10/2020;
BO;32.62;;96953.68033;4.98656429940414;3;BO9;7;GMM;19/10/2020;
SP;33.7;;60154.84795;4.77927063338977;2;SM8;7;GMM;19/10/2020;
BO;33.67;;60957.73068;4.78502879082009;1;BO7;7;GMM;19/10/2020;
SP;34.18;;48656.41591;4.68714011512014;3;SM9;7;GMM;19/10/2020;
SI;33.41;;68380.58651;4.83493282148199;1;SI7;7;GMM;19/10/2020;
ET;32.71;;93172.94595;4.96928982726528;1;ET7;7;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_ET90;7;GMM;25/11/2020;
CONTROL;32.02;;126394.2878;5.10172744710304;1;TEM1;0;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SM30;30;GMM;25/11/2020;
BO;37.72;;10178.35381;4.00767754332053;3;BO6;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_BO30;30;GMM;25/11/2020;
FI;33.98;;53153.00607;4.72552783109254;3;FI6;30;GMM;19/10/2020;
SI;36.97;;14178.53886;4.15163147783329;3;SI6;30;GMM;19/10/2020;
BO;38.12;;8529.078495;3.93090211133688;2;BO5;30;GMM;19/10/2020;
SP;39.63;;4375.97524;3.64107485602149;1;SM4;30;GMM;19/10/2020;
SI;36.98;;14116.01438;4.14971209210444;3;SI6;30;GMM;19/10/2020;
SP;39.68;;4280.336643;3.63147792706173;2;SM5;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_FI30;30;GMM;25/11/2020;
SNC2;No Cq;;1;0;NA;neg2_SI30;30;GMM;25/11/2020;
SP;38.98;;5832.233899;3.76583493283531;3;SM6;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_ET30;30;GMM;25/11/2020;
SP;38.52;;7147.047681;3.85412667947435;2;SM5;30;GMM;19/10/2020;
SI;37.23;;12639.42878;4.10172744710304;3;SI6;30;GMM;19/10/2020;
SI;37.03;;13807.50354;4.14011516324116;1;SI4;30;GMM;19/10/2020;
ET;35.92;;22551.06136;4.35316698665496;3;ET6;30;GMM;19/10/2020;
FI;34.5;;42239.59735;4.62571976962266;2;FI5;30;GMM;19/10/2020;
ENC2;No Cq;;1;0;NA;neg2_E3;30;GMM;19/10/2020;
ET;36;;21767.66776;4.33781190018387;1;ET4;30;GMM;19/10/2020;
FNC2;No Cq;;1;0;NA;neg2_F3;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_FI30;30;GMM;25/11/2020;
FI;33.92;;54581.334;4.73704414587692;2;FI5;30;GMM;19/10/2020;
FNC2;No Cq;;1;0;NA;neg2_F3;30;GMM;19/10/2020;
BO;37.69;;10314.20361;4.01343570044927;2;BO5;30;GMM;19/10/2020;
ET;35.37;;28756.31322;4.45873320539494;1;ET4;30;GMM;19/10/2020;
ET;36.61;;16623.76407;4.22072936660481;2;ET5;30;GMM;19/10/2020;
FI;36.82;;15150.33601;4.18042226489579;1;FI4;30;GMM;19/10/2020;
BO;37.97;;9113.66159;3.95969289825079;3;BO6;30;GMM;19/10/2020;
ET;36.48;;17606.83855;4.24568138188726;3;ET6;30;GMM;19/10/2020;
ENC2;No Cq;;1;0;NA;neg2_E3;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SI30;30;GMM;25/11/2020;
SNC2;No Cq;;1;0;NA;neg2_BO30;30;GMM;25/11/2020;
FI;33.89;;55309.82741;4.74280230328924;3;FI6;30;GMM;19/10/2020;
SI;36.34;;18730.64717;4.27255278311492;2;SI5;30;GMM;19/10/2020;
BO;38.07;;8719.649744;3.94049904028771;1;BO4;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_ET30;30;GMM;25/11/2020;
ET;35.93;;22451.61575;4.35124760084308;2;ET5;30;GMM;19/10/2020;
SP;38.64;;6777.882721;3.83109404988596;2;SM5;30;GMM;19/10/2020;
BO;37.39;;11776.52815;4.07101727453139;1;BO4;30;GMM;19/10/2020;
FI;32.43;;105446.6118;5.02303262959277;3;FI6;30;GMM;19/10/2020;
ET;34.99;;34014.95225;4.53166986563685;1;ET4;30;GMM;19/10/2020;
SP;38.36;;7670.732752;3.88483685220845;1;SM4;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_SM30;30;GMM;25/11/2020;
SI;36.9;;14624.03368;4.16506717859636;1;SI4;30;GMM;19/10/2020;
BO;37.2;;12808.12639;4.10748560453029;3;BO6;30;GMM;19/10/2020;
SNC2;No Cq;;1;0;NA;neg2_BO30;30;GMM;25/11/2020;
FI;35.86;;23157.05362;4.36468330125675;1;FI4;30;GMM;19/10/2020;
SP;38.08;;8681.197857;3.93857965453048;1;SM4;30;GMM;19/10/2020;
SP;37.4;;11724.59605;4.06909788880477;3;SM6;30;GMM;19/10/2020;
FNC2;No Cq;;1;0;NA;neg2_F3;30;GMM;19/10/2020;
