Trt;Cq;delta_cq;DNA_copy;DNA_log10;rep_bio;ID;conservation_t;qPCR_mix;Date_stdcurve;Site
GF;27,02;;88023.44019;4.944598338;1;FG_1;;GMM;29/07/2020;
NY;27,31;;73158.6913;4.864265928;1;NY_1;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FFG;;GMM;29/07/2020;
PES;28,86;;27220.93554;4.434903047;2;PES_2;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_PES;;GMM;29/07/2020;
GF;26,37;;133245.8647;5.12465374;3;FG_3;;GMM;29/07/2020;
GF;26,79;;101931.9305;5.008310249;2;FG_2;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_PES;;GMM;29/07/2020;
NY;27,47;;66060.91707;4.819944598;1;NY_1;;GMM;29/07/2020;
ST;26,09;;159300.1066;5.202216066;1;ST_1;;GMM;29/07/2020;
GF;26,58;;116541.8732;5.066481994;1;FG_1;;GMM;29/07/2020;
NY;26,5;;122642.97;5.088642659;3;NY_3;;GMM;29/07/2020;
ST;26,36;;134098.47;5.127423823;3;ST_3;;GMM;29/07/2020;
FNC1;40,08;;21.22608046;1.326869806;NA;neg1_FFG;;GMM;29/07/2020;
NY;26,43;;128242.8736;5.108033241;3;NY_3;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
PES;28,47;;34908.90996;4.542936288;1;PES_1;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_FG;;GMM;29/07/2020;
NY;27,04;;86907.68303;4.939058172;1;NY_1;;GMM;29/07/2020;
ST;26,39;;131556.8825;5.119113573;1;ST_1;;GMM;29/07/2020;
PES;28,79;;28463.84913;4.454293629;2;PES_2;;GMM;29/07/2020;
GF;26,88;;96245.29354;4.983379501;2;FG_2;;GMM;29/07/2020;
GF;26,53;;120318.5003;5.08033241;2;FG_2;;GMM;29/07/2020;
NY;26,16;;152344.0457;5.182825485;3;NY_3;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FNY;;GMM;29/07/2020;
ST;25,96;;173072.1333;5.238227147;1;ST_1;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FPES;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_Ny;;GMM;29/07/2020;
PES;28,5;;34247.27639;4.534626039;1;PES_1;;GMM;29/07/2020;
NY;26,54;;119553.5088;5.077562327;2;NY_2;;GMM;29/07/2020;
GF;26,38;;132398.6804;5.121883657;3;FG_3;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FPES;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FFG;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_Ny;;GMM;29/07/2020;
GF;27,08;;84718.41839;4.927977839;1;FG_1;;GMM;29/07/2020;
NY;26,47;;125012.3469;5.096952909;2;NY_2;;GMM;29/07/2020;
GF;26,17;;151375.4341;5.180055402;3;FG_3;;GMM;29/07/2020;
PES;28,79;;28463.84913;4.454293629;2;PES_2;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FNY;;GMM;29/07/2020;
ST;26,71;;107268.1805;5.030470914;3;ST_3;;GMM;29/07/2020;
NY;26,24;;144765.4151;5.16066482;2;NY_2;;GMM;29/07/2020;
PES;28,59;;32336.66972;4.509695291;1;PES_1;;GMM;29/07/2020;
ST;26,6;;115064.6255;5.060941828;2;ST_2;;GMM;29/07/2020;
PES;27,68;;57779.37679;4.761772853;3;PES_3;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_Ny;;GMM;29/07/2020;
ST;26,6;;115064.6255;5.060941828;3;ST_3;;GMM;29/07/2020;
PES;27,95;;48638.54888;4.686980609;3;PES_3;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FNY;;GMM;29/07/2020;
PES;27,22;;77481.26023;4.889196676;3;PES_3;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_ST;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FST;;GMM;29/07/2020;
ST;26,95;;92042.60882;4.96398892;2;ST_2;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;Neg1_FST;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_ST;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_PES;;GMM;29/07/2020;
SNC1;No Cq;;0;0;NA;neg1_ST;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FST;;GMM;29/07/2020;
FNC1;No Cq;;0;0;NA;neg1_FPES;;GMM;29/07/2020;
ST;26,78;;102584.1661;5.011080332;2;ST_2;;GMM;29/07/2020;
ENC1;No Cq;;0;0;NA;neg1_E;;GMM;29/07/2020;
ENC1;No Cq;;0;0;NA;neg1_E;;GMM;29/07/2020;
ENC1;No Cq;;0;0;NA;neg1_E;;GMM;29/07/2020;
QNC1;No Cq;;0;0;;neg1_q;;GMM;29/07/2020;
FNC0;40,06;;21.49858975;1.332409972;NA;neg2_F1;0;GMM;29/07/2020;
BT;29,7;;15930.01066;4.202216066;1;DN1;;GMM;29/07/2020;
PW;30,73;;8258.430284;3.916897507;1;PW1;;GMM;29/07/2020;
BT;30,61;;8915.352191;3.950138504;1;DN1;;GMM;29/07/2020;
ENC3;37,02;;149.4566472;2.174515235;NA;neg3_E3;;GMM;29/07/2020;
QNC3;No Cq;;0;0;;neg3_q;;GMM;29/07/2020;
QNC3;34,36;;815.3749046;2.911357341;;neg3_q;;GMM;29/07/2020;
BTT;29,36;;19787.86287;4.296398892;2;DNT_2;;GMM;29/07/2020;
SNC3;No Cq;;0;0;NA;neg3_DNT;0;GMM;25/11/2020;
SNC0;34,73;;643.9679688;2.808864266;NA;neg2_TEM;;GMM;29/07/2020;
ENC3;33,89;;1100.401684;3.041551247;NA;neg3_E1;;GMM;29/07/2020;
SNC0;No Cq;;0;0;NA;neg2_TEM;;GMM;29/07/2020;
ENC3;No Cq;;0;0;NA;neg3_E1;;GMM;29/07/2020;
PW;31,82;;4120.580934;3.614958449;1;PW1;;GMM;29/07/2020;
FNC0;38,44;;60.41759518;1.781163435;NA;neg2_F1;0;GMM;29/07/2020;
PW;32,18;;3275.18214;3.515235457;2;PW2;;GMM;29/07/2020;
ENC3;37,94;;83.11273808;1.91966759;NA;neg3_E3;;GMM;29/07/2020;
BTZ;29,79;;15041.2981;4.177285319;1;DNZ_1;;GMM;29/07/2020;
BTT;29,42;;19044.8867;4.279778393;2;DNT_2;;GMM;29/07/2020;
BTZ;30,41;;10128.38418;4.005540166;2;DNZ_2;;GMM;29/07/2020;
BTT;29,59;;17087.83259;4.232686981;3;DNT_3;;GMM;29/07/2020;
BT;29,81;;14850.63939;4.171745152;1;DN1;;GMM;29/07/2020;
BT;31,19;;6158.482111;3.789473684;2;DN2;;GMM;29/07/2020;
ENC0;36,21;;250.5485922;2.398891967;NA;neg2_E1;;GMM;29/07/2020;
BTZ;30,14;;12031.85003;4.08033241;2;DNZ_2;;GMM;29/07/2020;
ENC0;33,79;;1172.87594;3.069252078;NA;neg2_E1;;GMM;29/07/2020;
PW;32,66;;2411.41228;3.382271468;1;PW1;;GMM;29/07/2020;
BT;30,82;;7797.704244;3.891966759;3;DN3;;GMM;29/07/2020;
BT;30,62;;8858.667904;3.947368421;2;DN2;;GMM;29/07/2020;
SNC3;38,68;;51.84196332;1.71468144;NA;neg3_DNT;0;GMM;25/11/2020;
PW;31,75;;4308.727519;3.63434903;2;PW2;;GMM;29/07/2020;
ENC3;No Cq;;0;0;NA;neg3_E1;;GMM;29/07/2020;
BTZ;30,9;;7409.793315;3.869806094;1;DNZ_1;;GMM;29/07/2020;
SNC3;38,91;;44.76818929;1.650969529;NA;neg3_Pw;0;GMM;25/11/2020;
SNC0;38,24;;68.63807532;1.836565097;NA;neg2_TEM;;GMM;29/07/2020;
BTZ;30,02;;12988.93092;4.113573407;2;DNZ_2;;GMM;29/07/2020;
PW;32,8;;2205.414902;3.343490305;3;PW3;;GMM;29/07/2020;
BTZ;30,17;;11803.80865;4.072022161;3;DNZ_3;;GMM;29/07/2020;
ENC0;36,12;;265.3522135;2.423822715;NA;neg2_E1;;GMM;29/07/2020;
BTT;29,56;;17417.95764;4.24099723;1;DNT_1;;GMM;29/07/2020;
BTT;29,81;;14850.63939;4.171745152;3;DNT_3;;GMM;29/07/2020;
SNC3;38,01;;79.48350469;1.900277008;NA;neg3_Pw;0;GMM;25/11/2020;
BTZ;30,09;;12421.75118;4.094182825;3;DNZ_3;;GMM;29/07/2020;
FNC0;38,7;;51.18483106;1.709141274;NA;neg2_F1;0;GMM;29/07/2020;
BTT;29,3;;20559.8239;4.313019391;2;DNT_2;;GMM;29/07/2020;
PWZ;31,78;;4227.06359;3.626038781;1;PWZ_1;;GMM;29/07/2020;
PW;31,38;;5455.594781;3.736842105;2;PW2;;GMM;29/07/2020;
PWZ;32,23;;3172.378819;3.501385042;1;PWZ_1;;GMM;29/07/2020;
PWZ;31,61;;4711.185383;3.673130194;2;PWZ_2;;GMM;29/07/2020;
BT;30,71;;8364.455464;3.922437673;2;DN2;;GMM;29/07/2020;
BTZ;29,72;;15728.08691;4.1966759;3;DNZ_3;;GMM;29/07/2020;
SNC3;37,69;;97.48093084;1.988919668;NA;neg3_DNT;0;GMM;25/11/2020;
PW;32,63;;2457.999088;3.390581717;3;PW3;;GMM;29/07/2020;
BT;31,76;;4281.332399;3.631578947;3;DN3;;GMM;29/07/2020;
BTZ;31,28;;5814.909183;3.764542936;1;DNZ_1;;GMM;29/07/2020;
BTT;29,81;;14850.63939;4.171745152;3;DNT_3;;GMM;29/07/2020;
PWZ;31,99;;3697.149702;3.567867036;2;PWZ_2;;GMM;29/07/2020;
BTT;29,55;;17529.41057;4.243767313;1;DNT_1;;GMM;29/07/2020;
ENC3;35,61;;367.3643026;2.565096953;NA;neg3_E3;;GMM;29/07/2020;
SNC3;No Cq;;0;0;NA;neg3_Pw;0;GMM;25/11/2020;
BTT;30,27;;11074.42866;4.04432133;1;DNT_1;;GMM;29/07/2020;
BT;31;;6951.927962;3.842105263;3;DN3;;GMM;29/07/2020;
PWZ;31,45;;5217.368641;3.717451524;2;PWZ_2;;GMM;29/07/2020;
PW;32,34;;2957.42764;3.470914127;3;PW3;;GMM;29/07/2020;
PWZ;32,02;;3627.077094;3.559556787;1;PWZ_1;;GMM;29/07/2020;
PWZ;35,28;;453.4294201;2.656509695;3;PWZ_3;;GMM;29/07/2020;
PWZ;35,05;;525.0753211;2.720221607;3;PWZ_3;;GMM;29/07/2020;
PWZ;34,98;;549.0503698;2.739612188;3;PWZ_3;;GMM;29/07/2020;
FO;33,94;;1065.861637;3.027700831;3;BO9;90;GMM;19/10/2020;
SP;34,31;;841.7977415;2.925207756;1;SM7;90;GMM;19/10/2020;
SI;33,35;;1552.872268;3.191135734;2;SI8;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_SI7;7;GMM;25/11/2020;
FO;34,53;;731.586913;2.864265928;2;BO8;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_SM7;7;GMM;25/11/2020;
ET;33,84;;1136.061029;3.055401662;3;ET9;90;GMM;19/10/2020;
ENC2;No Cq;;0;0;NA;neg2_E2;7;GMM;19/10/2020;
FE;32,55;;2586.678077;3.412742382;2;TEM2;0;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_SI7;7;GMM;25/11/2020;
FI;33,94;;1065.861637;3.027700831;3;FI9;90;GMM;19/10/2020;
SI;33,55;;1366.891592;3.135734072;3;SI9;90;GMM;19/10/2020;
FI;32,96;;1991.44802;3.299168975;1;FI7;90;GMM;19/10/2020;
FNC2;No Cq;;0;0;NA;neg2_F2;7;GMM;19/10/2020;
SP;35,38;;425.4111458;2.628808864;3;SM9;90;GMM;19/10/2020;
FI;33,91;;1086.453342;3.03601108;3;FI9;90;GMM;19/10/2020;
SI;34,36;;815.3749046;2.911357341;1;SI7;90;GMM;19/10/2020;
ENC2;No Cq;;0;0;NA;neg2_E2;7;GMM;19/10/2020;
FE;32,31;;3014.563085;3.479224377;2;TEM2;0;GMM;19/10/2020;
SP;34,78;;623.7547278;2.79501385;1;SM7;90;GMM;19/10/2020;
SI;33,1;;1821.326521;3.260387812;2;SI8;90;GMM;19/10/2020;
ET;32,81;;2191.392756;3.340720222;2;ET8;90;GMM;19/10/2020;
ET;32,88;;2095.702541;3.32132964;2;ET8;90;GMM;19/10/2020;
SI;34,27;;863.5511933;2.936288089;1;SI7;90;GMM;19/10/2020;
SI;35,08;;515.1234934;2.711911357;3;SI9;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_BO7;7;GMM;25/11/2020;
ET;33,87;;1114.529101;3.047091413;1;ET7;90;GMM;19/10/2020;
QNC2;No Cq;;0;0;;neg2_q;7;GMM;19/10/2020;
FE;32,46;;2739.511515;3.43767313;2;TEM2;0;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_FI7;7;GMM;25/11/2020;
FI;32,59;;2521.517867;3.40166205;2;FI8;90;GMM;19/10/2020;
FO;33,59;;1332.458647;3.12465374;1;BO7;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_FI7;7;GMM;25/11/2020;
SP;35,18;;483.2930239;2.684210526;3;SM9;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_SM7;7;GMM;25/11/2020;
SNC2;No Cq;;0;0;NA;neg2_FI7;7;GMM;25/11/2020;
ENC2;No Cq;;0;0;NA;neg2_E2;7;GMM;19/10/2020;
FE;33,23;;1676.396445;3.224376731;3;TEM3;0;GMM;19/10/2020;
FO;33,31;;1593.001066;3.202216066;3;BO9;90;GMM;19/10/2020;
SP;35,05;;525.0753211;2.720221607;1;SM7;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_ET7;7;GMM;25/11/2020;
SP;34,74;;639.873586;2.806094183;2;SM8;90;GMM;19/10/2020;
FI;33,88;;1107.442866;3.04432133;2;FI8;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_SI7;7;GMM;25/11/2020;
ET;34,27;;863.5511933;2.936288089;3;ET9;90;GMM;19/10/2020;
FI;34,39;;799.9209873;2.903047091;1;FI7;90;GMM;19/10/2020;
FNC2;No Cq;;0;0;NA;neg2_F2;7;GMM;19/10/2020;
FE;33,49;;1420.216555;3.152354571;3;TEM3;0;GMM;19/10/2020;
FI;33,68;;1258.122681;3.099722992;3;FI9;90;GMM;19/10/2020;
FO;35;;542.0907817;2.734072022;1;BO7;90;GMM;19/10/2020;
SNC2;No Cq;;0;0;NA;neg2_BO7;7;GMM;25/11/2020;
FI;33,49;;1420.216555;3.152354571;1;FI7;90;GMM;19/10/2020;
ET;33,51;;1402.214341;3.146814404;2;ET8;90;GMM;19/10/2020;
